Object,Domain
ns1:made,ns1:Agent
ns1:weblog,ns1:Agent
ns1:fundedBy,ns2:Resource
ns1:jabberID,ns1:Agent
ns1:gender,ns1:Agent
ns1:knows,ns1:Person
ns1:aimChatID,ns1:Agent
ns1:topic,ns1:Document
ns1:mbox,ns1:Agent
ns1:workplaceHomepage,ns1:Person
ns1:currentProject,ns1:Person
ns1:accountServiceHomepage,ns1:OnlineAccount
ns1:plan,ns1:Person
ns1:mbox_sha1sum,ns1:Agent
ns1:interest,ns1:Person
ns1:surname,ns1:Person
ns1:depicts,ns1:Image
ns1:geekcode,ns1:Person
ns1:homepage,ns1:Agent
ns1:msnChatID,ns1:Agent
ns1:theme,ns2:Resource
ns1:accountName,ns1:OnlineAccount
ns1:depiction,ns2:Resource
ns1:family_name,ns1:Person
ns1:maker,ns2:Resource
ns1:member,ns1:Group
ns1:holdsAccount,ns1:Agent
ns1:logo,ns2:Resource
ns1:page,ns2:Resource
ns1:thumbnail,ns1:Image
ns1:workInfoHomepage,ns1:Person
ns1:myersBriggs,ns1:Person
ns1:based_near,ns3:SpatialThing
ns1:topic_interest,ns1:Person
ns1:img,ns1:Person
ns1:tipjar,ns1:Agent
ns1:pastProject,ns1:Person
ns1:schoolHomepage,ns1:Person
ns1:sha1,ns1:Document
ns1:icqChatID,ns1:Agent
ns1:yahooChatID,ns1:Agent
ns1:name,ns2:Resource
ns1:publications,ns1:Person
ns1:membershipClass,ns1:Group
ns1:primaryTopic,ns1:Document
ns1:firstName,ns1:Person
